controller_time_s,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz
2625.615,-0.5211488874130522,-0.025656261634284923,0.3063512030313135,-1.2322342677910576,2.887140117424496,0.025990072511599096
2626.615,-0.5211617618365277,-0.025661814184856357,0.3063882157937515,-1.2322870717188183,2.887175726461588,0.02607981571447638
2627.615,-0.5211609483306806,-0.02565877177147765,0.30637549782751683,-1.2322654559172586,2.887158338567113,0.02602970735050454
2628.615,-0.5211543577832269,-0.025678087938664537,0.30635731668801325,-1.232305172903801,2.887140609627237,0.025991785203615506
2629.615,-0.5211496098338322,-0.025650711184316482,0.30635551320495324,-1.2322259673096945,2.8871391550139833,0.026008568819308388
2630.615,-0.5211646629666817,-0.025675364476792292,0.3063675226970293,-1.2323402410037543,2.8871336834377668,0.02600671984303576
2631.615,-0.5211536298465581,-0.02568899890295247,0.3063652557425197,-1.2323445113893963,2.887108754624198,0.026042484239447466
2632.615,-0.5211475327099211,-0.025671010581370262,0.30637839228744346,-1.2323170619458188,2.8871554736908935,0.02601876312737619
2633.615,-0.5211606255677564,-0.025669872084367697,0.3063760110982063,-1.2323224579684635,2.8871677395362627,0.026004326668194962
2634.615,-0.5211564375615676,-0.025676406800338294,0.3063594002499198,-1.2323239159351986,2.887122411493042,0.025967777146674864
2635.615,-0.5153069296486581,-0.02729559588081148,0.327011194966026,1.2207801620979157,-2.858125946834539,-0.06387358187111791
2636.615,-0.47480965018771354,-0.09137970341421571,0.40656182462716706,1.321669867779456,-2.6485342677680923,-0.1849471570389747
2637.615,-0.4005480159898415,-0.20247410726980647,0.46569875847928444,1.5713299898575983,-2.344516602333056,-0.22018002539913323
2638.615,-0.2764563384997742,-0.35171922779890497,0.46766727236907557,2.0232044763208408,-1.9327533255203175,-0.11939641007338038
2639.615,-0.2596565161030256,-0.3616413177544385,0.45200244891999375,2.133479988747042,-1.9533189991582915,-0.08714686016600849
2640.615,-0.26413291993085,-0.36488976160907627,0.4211951939212655,2.235788795878713,-2.0460658557311695,-0.053024901107463863
2641.615,-0.30355245088516003,-0.393779880176058,0.3130425325455952,-2.2274098166952974,2.0386979406070425,-0.011027015455081522
2642.615,-0.3094541271407415,-0.3981216775769386,0.28711467190877804,-2.188604873342904,2.002837933601278,-0.025187805982999974
2643.615,-0.3283848073534774,-0.4119025867383943,0.30755681291282516,2.2851036573797976,-2.0947113998047233,-0.03546895839221876
2644.615,-0.45630991865348114,-0.26313329253559475,0.3075125052850094,1.8579633674333655,-2.487646965278864,-0.046790359164430854
2645.615,-0.520884325221213,-0.0783100312343357,0.30745621318036226,1.3660537802574075,-2.795189218912025,-0.05647358120815349
2646.615,-0.5288747863765492,-0.06283165110902433,0.28408158022431684,-1.3361688633268176,2.8332989062935434,0.01889590435225603
2647.615,-0.5288632436842977,-0.06288495729804372,0.2840831920331672,-1.3363064199542711,2.833255544354417,0.018871087032822774
2648.615,-0.5288508601140778,-0.06287544452879869,0.2840657615573669,-1.3362005181811196,2.8332584530432245,0.018850028926934576
2649.615,-0.5288655286831649,-0.06287766961801969,0.284086527445057,-1.336254484142529,2.833305085108828,0.018871820163528716
2650.615,-0.5288561891563731,-0.06287285759608996,0.2840715218220279,-1.336226171105443,2.833287109027009,0.0188071744842653
2651.615,-0.5288599407202473,-0.06287579980340305,0.28406820895128226,-1.336245754215893,2.833253863353298,0.01883692378078812
2652.615,-0.528861780514211,-0.06288308896361668,0.28407060308834026,-1.3362384173386392,2.8332532298188533,0.018803763552874563
